Name,Mileage,Dealer Name,Rating,Review Count,Price
2020 Mercedes-Benz GLE 350 Base 4MATIC,"23,089 mi.",Mercedes-Benz Of Naples,4.8,"1,467 ","$60,900"
2020 Mercedes-Benz AMG G 63 AMG G 63,"29,507 mi.",Mercedes-Benz of Birmingham,4.9,779 ,"$237,998"
2020 Mercedes-Benz C-Class C 300 4MATIC,"18,136 mi.",Mercedes-Benz of Fort Mitchell,4.9,325 ,"$58,905"
2019 Mercedes-Benz CLA 250 Base,"44,619 mi.",Mercedes-Benz of Stevens Creek,4.7,"1,459 ","$30,955"
2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"9,348 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,073 ","$179,999"
2019 Mercedes-Benz GLA 250 Base 4MATIC,"23,792 mi.",Mercedes-Benz of West Houston,3.9,25 ,"$34,980"
2018 Mercedes-Benz AMG E 43 Base 4MATIC,"24,138 mi.",Mercedes-Benz of North Haven,4.8,"1,154 ","$59,997"
2021 Mercedes-Benz AMG GLE 53 Base,"18,606 mi.",Mercedes-Benz of Clearwater,4.5,361 ,"$104,989"
2021 Mercedes-Benz GLS 580 Base 4MATIC,"7,358 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,073 ","$131,999"
2019 Mercedes-Benz CLA 250 Base,"16,462 mi.",Mercedes-Benz of Houston North,4.5,"1,193 ","$34,998"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,"36,887 mi.",Mercedes-Benz of Walnut Creek,4.6,836 ,"$53,999"
2019 Mercedes-Benz CLA 250 Base 4MATIC,"41,853 mi.",Mercedes-Benz of Lancaster,4.8,88 ,"$31,990"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"34,225 mi.",Mercedes-Benz of Tucson,4.5,325 ,"$63,995"
2018 Mercedes-Benz C-Class C 300 4MATIC,"27,452 mi.",Mercedes-Benz of Burlington,4.7,261 ,"$40,495"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"24,139 mi.",W.I. Simonson Inc.,4.5,772 ,"$68,998"
2019 Mercedes-Benz CLA 250 Base,"24,385 mi.",Fletcher Jones Motorcars,4.8,"5,199 ","$31,892"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"6,219 mi.",Mercedes-Benz of Lafayette,4.7,150 ,"$75,997"
2019 Mercedes-Benz CLA 250 Base 4MATIC,"27,903 mi.",Mercedes-Benz of Mt. Pleasant,4.7,55 ,"$35,991"
2019 Mercedes-Benz CLA 250 Base 4MATIC,"20,421 mi.",Mercedes-Benz of Lynnwood,4.6,115 ,"$34,995"
2018 Mercedes-Benz AMG GLC 43 Base 4MATIC,"20,295 mi.",Mercedes-Benz of Buckhead,4.7,918 ,"$54,000"
2019 Mercedes-Benz CLA 250 Base,"18,917 mi.",Mercedes-Benz of San Francisco / Smart Center San Francisco,4.0,59 ,"$31,965"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"31,839 mi.",Centennial Imports,4.4,80 ,"$68,980"
2019 Mercedes-Benz AMG C 63 S,"20,702 mi.",Mercedes-Benz of Burlington,4.7,261 ,"$80,993"
2019 Mercedes-Benz AMG C 43 Base 4MATIC,"14,926 mi.",Mercedes-Benz of Sugar Land,4.5,533 ,"$56,989"
2021 Mercedes-Benz E-Class E 350 4MATIC,"6,140 mi.",Mercedes-Benz of Fredericksburg,4.6,300 ,"$63,495"
